cas_number,compound_name,smiles,hmt_count,hmt_positive,hmt_result,human_positive,sensitization_human,llna_count,llna_positive,llna_result,hript_count,hript_positive,hript_result,gpmt_count,gpmt_result,dpra_count,dpra_mean,dpra_result,keratinosens_count,keratinosens_ec15,keratinosens_result,hclat_count,hclat_mean,hclat_result,usens_count,usens_cv70,usens_result,dpra_cys,dpra_lys,adra_nac,adra_nal,kdpra_log,hclat_ec200,hclat_cv75,usens_cv70_ssd,il8luc,irritation,irritation_viability_mean,corrosion,corrosion_ter_mean,human_test_count,human_reliability,dtxsid,irritation_viability_mean_exist,corrosion_ghs_score,has_sensitization,has_irritation,has_corrosion,endpoint_count,strat_key,has_nam_data,acute_dermal_ld50,acute_dermal_ld50_min,acute_dermal_ld50_max,acute_dermal_count,acute_dermal_ghs,has_acute_dermal,acute_dermal_source,acute_dermal_toxic,mol_weight,logp,tpsa,hbd,hba,num_rotatable_bonds,num_aromatic_rings,fraction_csp3
,,CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7340.096011745056,,,,5.0,,NCI_RTECS,0.0,204.35699999999997,4.869300000000004,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
,,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91049685407654,,,,2.0,,NCI_RTECS,1.0,240.215,2.722100000000001,106.51,1.0,5.0,4.0,1.0,0.4
,,Nc1ccc(O)c(C(=O)O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9795.15073711684,,,,5.0,,NCI_RTECS,0.0,153.137,0.6726000000000001,83.55,3.0,3.0,1.0,1.0,0.0
,,CCC(C)c1ccccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103.640638912131,,,,5.0,,NCI_RTECS,0.0,150.22099999999998,2.9057000000000017,20.23,1.0,1.0,2.0,1.0,0.4
,,O=C(Cl)c1ccc(Cl)cc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4525.94541356357,,,,5.0,,NCI_RTECS,0.0,209.459,3.3724000000000007,17.07,0.0,1.0,1.0,1.0,0.0
,,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.8671942648418,,,,4.0,,NCI_RTECS,0.0,265.40099999999995,1.577,29.950000000000003,1.0,4.0,6.0,1.0,0.6
,,N#Cc1ccccc1C#N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341.2989519454154,,,,5.0,,NCI_RTECS,0.0,128.13399999999996,1.42996,47.58,0.0,2.0,0.0,1.0,0.0
,,c1ccc2ccccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5851.420726757103,,,,5.0,,NCI_RTECS,0.0,128.17399999999995,2.839800000000001,0.0,0.0,0.0,0.0,2.0,0.0
,,COC(=O)c1ccccc1/N=C/C(C)Cc1ccc(C(C)(C)C)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444.931737367392,,,,5.0,,NCI_RTECS,0.0,337.4630000000001,5.351800000000005,38.66,0.0,3.0,5.0,2.0,0.3636363636363636
,,COc1ccccc1NC(=O)CC(=O)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.9992583893843,,,,4.0,,NCI_RTECS,0.0,269.29999999999995,2.9067000000000016,55.4,1.0,3.0,5.0,2.0,0.125
,,O=C1CCN(c2ccccc2)N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.659663262987,,,,4.0,,NCI_RTECS,0.0,162.192,0.9279,32.34,1.0,2.0,1.0,1.0,0.2222222222222222
,,CCN(CCCl)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.6514954023792,,,,3.0,,NCI_RTECS,1.0,183.68200000000004,2.7517000000000014,3.24,0.0,1.0,4.0,1.0,0.4
,,c1ccc(-c2ccccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9746.323238135225,,,,5.0,,NCI_RTECS,0.0,154.21199999999996,3.353600000000001,0.0,0.0,0.0,1.0,2.0,0.0
,,c1ccc(N2CCOCC2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.6836168268788,,,,3.0,,NCI_RTECS,1.0,163.22,1.5232,12.47,0.0,2.0,1.0,1.0,0.4
,,Oc1ccc(-c2ccc(O)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867.729980932113,,,,5.0,,NCI_RTECS,0.0,186.21,2.764800000000001,40.46,2.0,2.0,1.0,2.0,0.0
,,CC(=O)CC(=O)Nc1ccccc1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.7915077327816,,,,4.0,,NCI_RTECS,0.0,191.23,1.91262,46.17,1.0,2.0,3.0,1.0,0.2727272727272727
,,C=CCN(CC=C)C(=O)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.9657568923867,,,,3.0,,NCI_RTECS,1.0,173.64299999999997,1.4258,20.31,0.0,1.0,5.0,0.0,0.375
,,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562.006746751709,,,,5.0,,NCI_RTECS,0.0,269.511,3.4987000000000013,46.53,1.0,2.0,3.0,1.0,0.2222222222222222
,,CCCCOC(=O)COc1ccc(Cl)cc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.9160926288537,,,,5.0,,NCI_RTECS,0.0,277.147,3.715500000000002,35.53,0.0,3.0,6.0,1.0,0.4166666666666667
,,CCCC(O)C(CC)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4103.125216827732,,,,5.0,,NCI_RTECS,0.0,146.23,1.1659,40.46,2.0,2.0,5.0,0.0,1.0
,,C=C(Cl)CSC(=S)N(CC)CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949.140727160472,,,,5.0,,NCI_RTECS,0.0,223.794,3.0988000000000016,3.24,0.0,2.0,4.0,0.0,0.625
,,c1ccc2n[nH]nc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.3207836611623,,,,5.0,,NCI_RTECS,0.0,119.127,0.9578999999999998,41.57,1.0,2.0,0.0,2.0,0.0
,,CC(C)N(Sc1nc2ccccc2s1)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251.956388642924,,,,5.0,,NCI_RTECS,0.0,266.43500000000006,4.422200000000004,16.130000000000003,0.0,4.0,4.0,2.0,0.4615384615384615
,,CC(C)(C)NSc1nc2ccccc2s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.407109899208,,,,5.0,,NCI_RTECS,0.0,238.38100000000003,3.691500000000002,24.92,1.0,4.0,2.0,2.0,0.3636363636363636
,,c1ccc2sc(SNC3CCCCC3)nc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9008.429803145067,,,,5.0,,NCI_RTECS,0.0,264.4189999999999,4.2257000000000025,24.92,1.0,4.0,3.0,2.0,0.4615384615384615
,,Cc1ccccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.9926011579987,,,,4.0,,NCI_RTECS,0.0,108.14,1.70062,20.23,1.0,1.0,0.0,1.0,0.1428571428571428
,,Clc1ccccc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20407.60796208786,,,,5.0,,NCI_RTECS,0.0,147.00399999999996,2.9934000000000003,0.0,0.0,0.0,0.0,1.0,0.0
,,Nc1ccccc1N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13870.39502129392,,,,5.0,,NCI_RTECS,0.0,108.144,0.851,52.04,2.0,2.0,0.0,1.0,0.0
,,Cc1cc(O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.645854492004,,,,5.0,,NCI_RTECS,0.0,124.13899999999995,1.4062199999999998,40.46,2.0,2.0,0.0,1.0,0.1428571428571428
,,CC1OC(=O)C(C)OC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4163.024020135716,,,,5.0,,NCI_RTECS,0.0,144.12599999999998,-0.1366,52.6,0.0,4.0,0.0,0.0,0.6666666666666666
,,ClCC(Br)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.1459031616855,,,,4.0,,NCI_RTECS,0.0,236.334,2.3836000000000004,0.0,0.0,0.0,2.0,0.0,1.0
,,OCC(Br)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0859155794354,,,,3.0,,NCI_RTECS,1.0,217.888,1.1371,20.23,1.0,1.0,2.0,0.0,1.0
,,OCC(O)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2868.64483404172,,,,5.0,,NCI_RTECS,0.0,110.54000000000002,-0.4216,40.46,2.0,2.0,2.0,0.0,1.0
,,CC1CCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15673.253311200748,,,,5.0,,NCI_RTECS,0.0,86.134,1.1853,9.23,0.0,1.0,0.0,0.0,1.0
,,O=C1CCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17423.62645678028,,,,5.0,,NCI_RTECS,0.0,86.09,0.3234,26.3,0.0,2.0,0.0,0.0,0.75
,,O=C1OCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.07221939127,,,,5.0,,NCI_RTECS,0.0,88.062,0.1532,35.53,0.0,3.0,0.0,0.0,0.6666666666666666
